income,credit_score,debt_to_income,age,existing_loans,employment,home_ownership,purpose,region,approved
70484.91,708.0,0.36,35.0,1,full_time,mortgage,business,EU,1
46280.29,753.0,0.468,39.0,0,self_employed,mortgage,debt_consolidation,NA,1
78508.12,709.0,0.466,26.0,0,full_time,rent,vacation,NA,1
81930.16,847.0,0.266,24.0,1,full_time,mortgage,home_improvement,NA,1
29881.37,790.0,0.343,40.0,2,self_employed,own,debt_consolidation,NA,1
41560.77,668.0,0.096,30.0,2,part_time,rent,education,NA,1
67301.13,668.0,0.332,23.0,0,self_employed,other,home_improvement,NA,1
59307.63,723.0,0.225,48.0,0,full_time,mortgage,education,APAC,1
64697.58,631.0,0.298,32.0,0,part_time,rent,auto,NA,1
49645.21,772.0,0.118,49.0,1,self_employed,rent,auto,NA,1
80829.16,715.0,0.369,38.0,0,full_time,mortgage,vacation,EU,1
79000.25,708.0,0.116,41.0,3,full_time,rent,home_improvement,APAC,1
66188.55,738.0,0.338,36.0,1,full_time,rent,auto,LATAM,1
85290.34,811.0,0.173,18.0,1,self_employed,rent,home_improvement,APAC,1
73415.17,702.0,0.218,27.0,0,full_time,own,debt_consolidation,APAC,1
49532.74,682.0,0.459,37.0,2,full_time,rent,education,NA,1
71637.51,796.0,0.391,42.0,1,full_time,rent,business,EU,1
47740.11,758.0,0.458,20.0,0,unemployed,rent,business,NA,1
80812.11,668.0,0.507,37.0,0,full_time,own,debt_consolidation,LATAM,1
64101.33,690.0,0.227,27.0,0,full_time,own,home_improvement,NA,1
61672.48,704.0,0.5,40.0,0,unemployed,rent,auto,EU,1
52743.27,715.0,0.144,38.0,0,full_time,mortgage,home_improvement,NA,1
87005.74,595.0,0.41,45.0,1,part_time,rent,auto,APAC,1
62218.47,582.0,0.261,49.0,2,full_time,mortgage,auto,NA,1
57290.1,628.0,0.208,43.0,1,full_time,rent,debt_consolidation,APAC,1
58661.6,622.0,0.394,47.0,1,full_time,own,medical,LATAM,1
74581.57,645.0,0.433,34.0,0,full_time,rent,business,NA,1
71577.99,734.0,0.43,66.0,0,full_time,rent,debt_consolidation,APAC,1
72429.19,678.0,0.346,26.0,1,self_employed,mortgage,debt_consolidation,NA,1
72754.78,704.0,0.336,33.0,1,full_time,mortgage,medical,NA,1
103549.66,604.0,0.383,47.0,1,full_time,rent,medical,NA,1
57684.53,658.0,0.356,46.0,0,part_time,rent,medical,EU,1
55779.63,731.0,0.385,43.0,0,unemployed,mortgage,home_improvement,NA,1
50352.09,732.0,0.344,45.0,0,full_time,mortgage,auto,APAC,1
76087.63,639.0,0.421,18.0,2,full_time,rent,education,APAC,1
85321.5,701.0,0.125,54.0,1,full_time,rent,debt_consolidation,NA,1
62948.95,844.0,0.304,36.0,4,self_employed,mortgage,home_improvement,NA,1
,689.0,0.154,50.0,0,self_employed,mortgage,vacation,NA,1
50159.34,641.0,0.353,18.0,1,full_time,own,home_improvement,NA,1
76710.67,678.0,0.517,41.0,0,full_time,rent,home_improvement,LATAM,1
78378.58,696.0,0.263,32.0,0,full_time,rent,business,NA,1
74776.78,679.0,0.335,44.0,3,part_time,mortgage,education,APAC,1
53020.83,688.0,0.411,41.0,0,full_time,mortgage,home_improvement,LATAM,1
,589.0,0.072,42.0,0,full_time,mortgage,education,NA,1
67100.34,623.0,0.257,27.0,1,full_time,own,debt_consolidation,EU,1
68936.39,680.0,0.364,37.0,2,part_time,rent,home_improvement,APAC,1
80685.72,678.0,0.028,36.0,1,unemployed,rent,medical,EU,1
69024.72,650.0,0.203,43.0,1,full_time,mortgage,business,NA,1
77220.44,678.0,0.452,48.0,2,self_employed,own,auto,APAC,1
66216.42,694.0,0.44,40.0,0,full_time,own,auto,LATAM,1
70204.15,752.0,0.365,25.0,4,part_time,rent,vacation,APAC,1
76363.19,683.0,0.426,39.0,0,self_employed,own,home_improvement,APAC,1
38771.2,718.0,0.346,64.0,1,full_time,mortgage,auto,APAC,1
59245.92,652.0,0.387,54.0,1,full_time,rent,medical,EU,1
56533.29,730.0,0.282,18.0,0,full_time,mortgage,debt_consolidation,NA,1
53500.2,716.0,0.334,39.0,0,self_employed,rent,vacation,LATAM,1
60047.44,751.0,0.244,47.0,3,full_time,own,vacation,NA,1
91908.94,740.0,0.472,36.0,1,full_time,mortgage,auto,APAC,1
49415.04,731.0,0.503,33.0,0,part_time,rent,home_improvement,NA,1
82429.01,683.0,0.486,35.0,1,full_time,rent,medical,EU,1
34708.34,707.0,0.271,44.0,1,full_time,rent,debt_consolidation,APAC,1
58972.07,764.0,0.206,27.0,0,self_employed,mortgage,auto,APAC,1
67929.56,644.0,0.473,50.0,1,full_time,mortgage,education,NA,1
75552.0,646.0,0.385,37.0,0,full_time,mortgage,medical,EU,1
77802.08,703.0,0.359,29.0,0,full_time,own,vacation,NA,1
79280.25,719.0,0.244,49.0,0,self_employed,own,debt_consolidation,NA,1
58722.95,632.0,0.371,23.0,1,full_time,mortgage,business,EU,1
56677.67,685.0,0.19,32.0,1,full_time,own,education,LATAM,1
80443.57,683.0,0.396,32.0,1,full_time,own,medical,LATAM,1
61556.52,535.0,0.485,59.0,2,full_time,own,vacation,EU,1
42037.65,675.0,0.516,31.0,1,full_time,mortgage,business,APAC,1
44600.83,679.0,0.405,18.0,1,full_time,rent,medical,NA,1
48449.86,679.0,0.154,32.0,0,full_time,rent,business,NA,1
73948.89,789.0,0.344,43.0,0,part_time,own,home_improvement,APAC,1
67563.66,605.0,0.577,46.0,0,full_time,own,business,APAC,1
77428.74,632.0,0.216,61.0,0,full_time,rent,vacation,APAC,1
57309.45,507.0,0.313,52.0,1,part_time,own,vacation,NA,1
67853.71,656.0,0.49,40.0,2,full_time,rent,home_improvement,NA,1
76260.63,662.0,0.394,29.0,0,full_time,own,debt_consolidation,NA,1
59431.76,654.0,0.618,54.0,0,unemployed,rent,medical,APAC,1
73221.95,768.0,0.232,34.0,1,part_time,mortgage,auto,NA,1
53085.33,750.0,0.201,31.0,0,part_time,rent,medical,NA,1
58465.03,695.0,0.467,34.0,2,full_time,mortgage,home_improvement,EU,1
58128.72,664.0,0.176,25.0,2,unemployed,own,business,NA,1
,762.0,0.296,33.0,0,full_time,mortgage,medical,NA,1
73765.5,689.0,0.312,36.0,1,full_time,mortgage,debt_consolidation,APAC,1
56550.76,633.0,0.444,45.0,1,self_employed,other,auto,NA,1
65224.89,570.0,0.394,34.0,3,full_time,mortgage,medical,EU,1
73653.44,659.0,0.375,25.0,0,full_time,own,education,LATAM,1
73037.56,743.0,0.272,22.0,0,full_time,mortgage,medical,NA,1
76976.93,849.0,0.466,40.0,1,full_time,own,auto,NA,1
63227.26,694.0,0.803,39.0,0,part_time,rent,education,EU,1
57380.63,636.0,0.403,32.0,1,full_time,rent,business,EU,1
63565.07,607.0,0.332,33.0,0,full_time,own,vacation,LATAM,1
34627.98,729.0,0.164,42.0,2,full_time,mortgage,debt_consolidation,NA,1
38951.98,566.0,0.244,52.0,0,full_time,rent,home_improvement,APAC,1
41191.41,729.0,0.294,30.0,2,part_time,mortgage,medical,NA,1
,747.0,0.256,39.0,2,full_time,rent,home_improvement,NA,1
72195.94,721.0,0.318,48.0,0,part_time,mortgage,vacation,EU,1
48701.38,675.0,0.533,30.0,1,full_time,mortgage,medical,NA,1
58193.07,730.0,0.47,38.0,0,full_time,mortgage,vacation,NA,1
88386.11,702.0,0.301,38.0,0,full_time,mortgage,home_improvement,NA,1
58587.25,636.0,0.175,25.0,1,self_employed,rent,auto,NA,1
78275.28,820.0,0.48,40.0,2,full_time,mortgage,business,EU,1
48194.88,665.0,0.314,38.0,2,full_time,rent,debt_consolidation,NA,1
61302.12,744.0,0.113,44.0,3,unemployed,mortgage,debt_consolidation,NA,1
47899.6,521.0,0.405,26.0,2,full_time,rent,home_improvement,NA,0
58897.4,779.0,0.443,38.0,0,self_employed,mortgage,debt_consolidation,APAC,1
80125.55,793.0,0.029,52.0,1,full_time,mortgage,vacation,LATAM,1
33908.23,692.0,0.221,59.0,0,full_time,mortgage,medical,NA,1
72819.63,729.0,0.307,51.0,0,full_time,mortgage,auto,LATAM,1
69279.24,729.0,0.408,26.0,2,full_time,own,vacation,EU,1
54305.3,645.0,0.258,43.0,0,part_time,mortgage,education,LATAM,1
38970.96,728.0,0.22,33.0,0,full_time,own,medical,EU,1
66298.33,633.0,0.407,41.0,0,full_time,mortgage,debt_consolidation,NA,1
55469.13,647.0,0.264,30.0,1,self_employed,mortgage,auto,APAC,1
69188.17,769.0,0.385,21.0,1,part_time,rent,debt_consolidation,EU,1
65393.34,758.0,0.187,35.0,0,full_time,other,debt_consolidation,APAC,1
,641.0,0.158,45.0,1,full_time,rent,auto,APAC,1
60691.6,639.0,0.411,41.0,0,full_time,other,business,EU,1
46577.05,645.0,0.35,42.0,0,self_employed,rent,vacation,EU,1
68226.96,741.0,0.431,40.0,1,part_time,own,vacation,NA,1
68959.94,620.0,0.256,42.0,3,part_time,mortgage,home_improvement,EU,1
89465.38,715.0,0.225,43.0,2,full_time,mortgage,medical,EU,1
80032.0,742.0,0.483,35.0,2,full_time,own,education,EU,1
71423.68,684.0,0.137,39.0,1,full_time,rent,medical,NA,1
91339.45,761.0,0.47,55.0,1,full_time,rent,business,LATAM,1
43602.27,669.0,0.478,39.0,0,full_time,rent,debt_consolidation,NA,1
53484.47,675.0,0.423,38.0,0,full_time,rent,home_improvement,NA,1
48321.63,622.0,0.237,39.0,0,full_time,rent,education,NA,1
57983.42,761.0,0.222,36.0,0,full_time,mortgage,medical,NA,1
40219.65,636.0,0.295,34.0,0,full_time,own,education,NA,1
76432.72,714.0,0.165,40.0,1,full_time,rent,debt_consolidation,NA,1
60999.99,685.0,0.205,33.0,2,self_employed,rent,auto,NA,1
38525.49,616.0,0.397,37.0,0,part_time,mortgage,medical,NA,1
46719.58,647.0,0.398,30.0,0,full_time,own,auto,NA,1
70643.25,787.0,0.194,39.0,0,self_employed,rent,education,LATAM,1
80086.28,704.0,0.401,44.0,1,full_time,rent,medical,EU,1
100941.16,619.0,0.375,36.0,1,full_time,mortgage,education,NA,1
117449.52,711.0,0.501,18.0,1,self_employed,other,education,EU,1
72459.37,680.0,0.388,44.0,2,full_time,mortgage,home_improvement,EU,1
47188.31,850.0,0.447,39.0,2,part_time,rent,home_improvement,EU,1
26623.17,710.0,0.377,28.0,0,full_time,rent,business,NA,1
69818.81,663.0,0.438,46.0,1,full_time,rent,vacation,EU,1
50367.06,789.0,0.166,24.0,0,full_time,rent,home_improvement,NA,1
57523.57,561.0,0.305,48.0,1,full_time,rent,home_improvement,NA,1
53982.26,697.0,0.315,37.0,0,full_time,mortgage,debt_consolidation,LATAM,1
62465.76,830.0,0.291,18.0,1,full_time,rent,medical,NA,1
84187.64,682.0,0.373,40.0,1,full_time,mortgage,auto,NA,1
67826.87,569.0,0.396,34.0,0,full_time,own,business,NA,1
